Timestamp,Gender,Age,City,Region,State,Choose a product category
6/13/2021 22:53:58,Male,21-25,Tier 2 City,Eastern India,Bihar,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 23:39:58,Female,15-20,Tier 3 City,Western India,Rajasthan,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 23:58:11,Female,15-20,Tier 1 City,Southern India,Maharashtra,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/14/2021 10:01:25,Female,15-20,Tier 3 City,Northern India,Punjab,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.), Novels"
6/14/2021 10:35:42,Male,21-25,Tier 3 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/14/2021 10:38:40,Male,21-25,Tier 1 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/14/2021 10:39:52,Female,15-20,Tier 1 City,Northern India,UT Chandigarh,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.), Novels"
6/14/2021 11:12:36,Female,21-25,Tier 2 City,Northern India,Chandigarh,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.)"
6/14/2021 11:12:59,Female,21-25,Tier 1 City,Southern India,Karnataka,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/14/2021 11:40:01,Male,21-25,Tier 1 City,Northern India,UP,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.), Novels"
6/14/2021 11:46:23,Male,15-20,Tier 1 City,Northern India,New Delhi,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels"
6/14/2021 12:09:20,Male,21-25,Tier 1 City,Northern India,Haryana,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/14/2021 12:32:28,Male,21-25,Tier 2 City,Western India,Gujarat,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/14/2021 12:33:02,Female,21-25,Tier 1 City,Southern India,Maharashtra,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Novels"
6/14/2021 13:51:04,Female,15-20,Tier 2 City,Northern India,Himachal,"Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/14/2021 13:57:34,Female,21-25,Tier 1 City,Northern India,Delhi,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.)"
6/14/2021 15:38:18,Male,21-25,Tier 3 City,Northern India,Bihar,"Devices(earphones, smart watches, headphones etc.)"
6/14/2021 15:42:39,Male,15-20,Tier 2 City,Northern India,Haryana,"Devices(earphones, smart watches, headphones etc.), Personal care and grooming products(perfume, makeup products etc.)"
